State,Confirmed,Recovered,Deaths
Maharashtra,479779,316375,16792
Tamil Nadu,279144,221087,4571
Delhi,141531,127124,4059
Karnataka,158254,80281,2897
Andhra Pradesh,196789,112870,1753
Uttar Pradesh,108974,63402,1918
Gujarat,67811,50524,2579
West Bengal,86754,61023,1902
Telangana,73050,52103,589
Rajasthan,48996,35131,757
Bihar,68148,43820,388
Haryana,39303,32640,458
Assam,52818,37225,126
Madhya Pradesh,36564,26902,946
Odisha,40717,26888,280
Jammu and Kashmir,23454,15708,436
Kerala,30449,18333,98
Punjab,20891,13659,517
Jharkhand,15756,6594,145
Chhattisgarh,11020,8088,77
Uttarakhand,8623,5427,102
Goa,7614,5453,66
Tripura,5740,3793,31
Puducherry,4621,2808,70
Manipur,3217,1905,8
Himachal Pradesh,3047,1865,13
Ladakh,1595,1177,7
Nagaland,2580,819,6
Arunachal Pradesh,1948,1245,3
Chandigarh,1327,777,20
Dadra and Nagar Haveli and Daman and Diu,1415,997,2
Meghalaya,990,345,5
Sikkim,829,353,1
Mizoram,538,288,0
Andaman and Nicobar Islands,1123,355,16
,,,
Lakshadweep,0,0,0
